Limsa Lominsa Upper Docks|リムサ・ロミンサ：上甲板層
Eden's Gate: Resurrection (Savage)|希望の園エデン零式：覚醒編1
Eden's Gate: Descent (Savage)|希望の園エデン零式：覚醒編2
Eden's Gate: Inundation (Savage)|希望の園エデン零式：覚醒編3
Eden's Gate: Sepulture (Savage)|希望の園エデン零式：覚醒編4
The Core|エデンコア
The Empty|無の大地
The Dungeons Of Lyhe Ghiah|宝物庫 リェー・ギア・ダンジョン
The Copied Factory|複製サレタ工場廃墟
The Grand Cosmos|魔法宮殿 グラン・コスモス
The Minstrel's Ballad: Hades's Elegy|極ハーデス討滅戦
The Firmament|蒼天街
The Epic Of Alexander (Ultimate)|絶アレキサンダー討滅戦
Lyhe Mhegy|リェー・メグ
Onsal Hakair (Danshig Naadam)|オンサル・ハカイル (終節戦)
Vows Of Virtue, Deeds Of Cruelty|メインクエスト『白き誓約、黒き密約』
Excavation Tunnels|機械遺跡の坑道
Cinder Drift|ルビーウェポン破壊作戦
The Falling City Of Nym|G.A.T.E.「挑戦！ ジャンピングアスレチック (ニーム浮遊遺跡風)」
The Endeavor|オーシャンフィッシング
Anamnesis Anyder|黒風海底 アニドラス・アナムネーシス
Eden's Verse: Fulmination|希望の園エデン：共鳴編1
Eden's Verse: Furor|希望の園エデン：共鳴編2
Eden's Verse: Iconoclasm|希望の園エデン：共鳴編3
Eden's Verse: Refulgence|希望の園エデン：共鳴編4
Eden's Verse: Fulmination (Savage)|希望の園エデン零式：共鳴編1
Eden's Verse: Furor (Savage)|希望の園エデン零式：共鳴編2
Eden's Verse: Iconoclasm (Savage)|希望の園エデン零式：共鳴編3
Eden's Verse: Refulgence (Savage)|希望の園エデン零式：共鳴編4
The Bozja Incident|シタデル・ボズヤ蒸発事変
Cinder Drift (Extreme)|極ルビーウェポン破壊作戦
Memoria Misera (Extreme)|極シタデル・ボズヤ追憶戦
Trial's Threshold|メインクエスト『汝、英雄の眠り妨げるは』
Gangos|ガンゴッシュ
Beneath The Surface|メインクエスト『深く潜れ』
Frondale's Home For Friendless Foundlings|フロンデール薬学院小児病棟
